================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): b4 (7.422s)
OurPlayer (x): d5 (5.159s)
DynamicPlayer (o): e3 (7.366s)
OurPlayer (x): a4 (4.983s)
DynamicPlayer (o): b5 (6.316s)
OurPlayer (x): d2 (4.871s)
DynamicPlayer (o): c2 (5.727s)
OurPlayer (x): f3 (4.776s)
DynamicPlayer (o): a5 (5.296s)
OurPlayer (x): b3 (4.940s)
DynamicPlayer (o): e1 (4.769s)
OurPlayer (x): c1 (4.465s)
DynamicPlayer (o): a3 (4.223s)
OurPlayer (x): a6 (4.214s)
DynamicPlayer (o): e4 (3.755s)
OurPlayer (x): c5 (4.109s)
DynamicPlayer (o): d6 (3.358s)
OurPlayer (x): b6 (3.952s)
DynamicPlayer (o): c6 (2.798s)
OurPlayer (x): f4 (0.774s)
DynamicPlayer (o): e2 (1.089s)
OurPlayer (x): e6 (0.052s)
DynamicPlayer (o): d1 (0.430s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): e5 (0.040s)
OurPlayer (x): b2 (0.001s)
DynamicPlayer (o): a2 (0.006s)
OurPlayer (x): f5 (0.000s)
DynamicPlayer (o): b1 (0.000s)
OurPlayer (x): a1 (0.000s)
対局終了 スコア: -30
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.855s)
DynamicPlayer (x): e4 (0.000s)
OurPlayer (o): c5 (4.737s)
DynamicPlayer (x): d1 (8.464s)
OurPlayer (o): f4 (4.604s)
DynamicPlayer (x): b3 (7.816s)
OurPlayer (o): c2 (4.524s)
DynamicPlayer (x): b4 (7.071s)
OurPlayer (o): a3 (4.297s)
DynamicPlayer (x): a5 (6.389s)
OurPlayer (o): b2 (4.185s)
DynamicPlayer (x): d5 (5.699s)
OurPlayer (o): e3 (4.239s)
DynamicPlayer (x): a4 (5.086s)
OurPlayer (o): a6 (4.036s)
DynamicPlayer (x): c6 (4.417s)
OurPlayer (o): b6 (3.859s)
DynamicPlayer (x): b5 (3.766s)
OurPlayer (o): b1 (2.226s)
DynamicPlayer (x): c1 (1.193s)
OurPlayer (o): e1 (0.059s)
DynamicPlayer (x): f3 (0.403s)
OurPlayer (o): e2 (0.000s)
DynamicPlayer (x): a1 (0.141s)
OurPlayer (o): a2 (0.015s)
DynamicPlayer (x): e5 (0.016s)
OurPlayer (o): f6 (0.003s)
DynamicPlayer (x): e6 (0.005s)
OurPlayer (o): f2 (0.001s)
DynamicPlayer (x): f1 (0.000s)
OurPlayer (o): d6 (0.000s)
