================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (7.280s)
OurPlayer (x): e4 (5.166s)
DynamicPlayer (o): c5 (6.901s)
OurPlayer (x): d1 (5.041s)
DynamicPlayer (o): e2 (6.388s)
OurPlayer (x): b4 (4.852s)
DynamicPlayer (o): b3 (5.928s)
OurPlayer (x): c6 (4.583s)
DynamicPlayer (o): e1 (5.314s)
OurPlayer (x): c2 (4.547s)
DynamicPlayer (o): a5 (4.869s)
OurPlayer (x): a3 (4.451s)
DynamicPlayer (o): c1 (4.270s)
OurPlayer (x): f1 (4.316s)
DynamicPlayer (o): f3 (3.867s)
OurPlayer (x): b1 (4.165s)
DynamicPlayer (o): b2 (2.242s)
OurPlayer (x): e3 (3.989s)
DynamicPlayer (o): f2 (1.372s)
OurPlayer (x): f4 (0.048s)
DynamicPlayer (o): d5 (1.096s)
OurPlayer (x): d6 (0.000s)
DynamicPlayer (o): e5 (0.232s)
OurPlayer (x): f5 (0.009s)
DynamicPlayer (o): f6 (0.057s)
OurPlayer (x): e6 (0.001s)
DynamicPlayer (o): b6 (0.008s)
OurPlayer (x): a1 (0.001s)
DynamicPlayer (o): b5 (0.001s)
OurPlayer (x): a6 (0.001s)
DynamicPlayer (o): a4 (0.000s)
OurPlayer (x): a2 (0.000s)
対局終了 スコア: -14
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.748s)
DynamicPlayer (x): e4 (0.000s)
OurPlayer (o): c5 (4.756s)
DynamicPlayer (x): d1 (8.420s)
OurPlayer (o): f4 (4.522s)
DynamicPlayer (x): b3 (7.705s)
OurPlayer (o): c2 (4.537s)
DynamicPlayer (x): b4 (7.011s)
OurPlayer (o): a3 (4.367s)
DynamicPlayer (x): a5 (6.376s)
OurPlayer (o): b2 (4.221s)
DynamicPlayer (x): d5 (5.816s)
OurPlayer (o): e3 (4.130s)
DynamicPlayer (x): a4 (5.065s)
OurPlayer (o): a6 (4.027s)
DynamicPlayer (x): c6 (4.460s)
OurPlayer (o): b6 (3.882s)
DynamicPlayer (x): b5 (3.809s)
OurPlayer (o): b1 (2.162s)
DynamicPlayer (x): c1 (1.186s)
OurPlayer (o): e1 (0.057s)
DynamicPlayer (x): f3 (0.400s)
OurPlayer (o): e2 (0.001s)
DynamicPlayer (x): a1 (0.146s)
OurPlayer (o): a2 (0.014s)
DynamicPlayer (x): e5 (0.017s)
OurPlayer (o): f6 (0.002s)
DynamicPlayer (x): e6 (0.004s)
OurPlayer (o): f2 (0.000s)
