Depth 0 vs Depth 0 | D0: 24勝(48.0%) 考慮時間:  0.017秒/局 | D0: 25勝(50.0%) 考慮時間:  0.016秒/局 | 引分: 1
Depth 0 vs Depth 1 | D0:  5勝(10.0%) 考慮時間:  0.016秒/局 | D1: 43勝(86.0%) 考慮時間:  0.022秒/局 | 引分: 2
Depth 0 vs Depth 2 | D0:  3勝(6.0%) 考慮時間:  0.016秒/局 | D2: 47勝(94.0%) 考慮時間:  0.072秒/局 | 引分: 0
Depth 0 vs Depth 3 | D0:  0勝(0.0%) 考慮時間:  0.016秒/局 | D3: 50勝(100.0%) 考慮時間:  0.202秒/局 | 引分: 0
Depth 0 vs Depth 4 | D0:  0勝(0.0%) 考慮時間:  0.016秒/局 | D4: 50勝(100.0%) 考慮時間:  0.696秒/局 | 引分: 0
Depth 1 vs Depth 1 | D1: 24勝(48.0%) 考慮時間:  0.028秒/局 | D1: 23勝(46.0%) 考慮時間:  0.029秒/局 | 引分: 3
Depth 1 vs Depth 2 | D1: 15勝(30.0%) 考慮時間:  0.024秒/局 | D2: 32勝(64.0%) 考慮時間:  0.087秒/局 | 引分: 3
Depth 1 vs Depth 3 | D1: 20勝(40.0%) 考慮時間:  0.026秒/局 | D3: 30勝(60.0%) 考慮時間:  0.332秒/局 | 引分: 0
Depth 1 vs Depth 4 | D1: 11勝(22.0%) 考慮時間:  0.027秒/局 | D4: 39勝(78.0%) 考慮時間:  1.392秒/局 | 引分: 0
Depth 2 vs Depth 2 | D2: 22勝(44.0%) 考慮時間:  0.085秒/局 | D2: 25勝(50.0%) 考慮時間:  0.083秒/局 | 引分: 3
Depth 2 vs Depth 3 | D2: 26勝(52.0%) 考慮時間:  0.096秒/局 | D3: 20勝(40.0%) 考慮時間:  0.295秒/局 | 引分: 4
Depth 2 vs Depth 4 | D2:  0勝(0.0%) 考慮時間:  0.074秒/局 | D4: 50勝(100.0%) 考慮時間:  1.069秒/局 | 引分: 0
Depth 3 vs Depth 3 | D3: 25勝(50.0%) 考慮時間:  0.258秒/局 | D3: 25勝(50.0%) 考慮時間:  0.261秒/局 | 引分: 0
Depth 3 vs Depth 4 | D3:  3勝(6.0%) 考慮時間:  0.327秒/局 | D4: 47勝(94.0%) 考慮時間:  1.424秒/局 | 引分: 0
Depth 4 vs Depth 4 | D4: 25勝(50.0%) 考慮時間:  1.120秒/局 | D4: 25勝(50.0%) 考慮時間:  1.112秒/局 | 引分: 0
