================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (8.508s)
OurPlayer (x): e4 (5.023s)
DynamicPlayer (o): d5 (11.407s)
OurPlayer (x): c2 (4.809s)
DynamicPlayer (o): f4 (24.995s)
OurPlayer (x): d6 (4.844s)
DynamicPlayer (o): b1 (46.057s)
OurPlayer (x): f3 (4.660s)
DynamicPlayer (o): f2 (41.206s)
OurPlayer (x): e3 (4.561s)
DynamicPlayer (o): f5 (26.621s)
OurPlayer (x): e5 (4.430s)
DynamicPlayer (o): b3 (10.512s)
OurPlayer (x): e2 (4.300s)
DynamicPlayer (o): b4 (13.005s)
OurPlayer (x): b5 (4.174s)
DynamicPlayer (o): f6 (8.508s)
OurPlayer (x): e6 (4.046s)
DynamicPlayer (o): c5 (4.790s)
OurPlayer (x): c6 (0.646s)
DynamicPlayer (o): f1 (1.460s)
OurPlayer (x): d1 (0.004s)
DynamicPlayer (o): e1 (0.316s)
OurPlayer (x): c1 (0.000s)
DynamicPlayer (o): a6 (0.015s)
OurPlayer (x): a1 (0.001s)
DynamicPlayer (o): b6 (0.002s)
OurPlayer (x): a2 (0.001s)
DynamicPlayer (o): a3 (0.000s)
OurPlayer (x): a5 (0.000s)
DynamicPlayer (o): a4 (0.000s)
OurPlayer (x): .. (0.000s)
DynamicPlayer (o): b2 (0.000s)
対局終了 スコア: 20
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.849s)
DynamicPlayer (x): e4 (9.362s)
OurPlayer (o): c5 (4.682s)
DynamicPlayer (x): d1 (5.765s)
OurPlayer (o): f4 (4.614s)
DynamicPlayer (x): b4 (11.642s)
OurPlayer (o): c2 (4.488s)
DynamicPlayer (x): d6 (17.873s)
OurPlayer (o): a4 (4.413s)
DynamicPlayer (x): c1 (11.024s)
OurPlayer (o): b3 (4.222s)
DynamicPlayer (x): d5 (15.586s)
OurPlayer (o): e3 (4.183s)
DynamicPlayer (x): b2 (20.954s)
OurPlayer (o): b5 (4.019s)
DynamicPlayer (x): f3 (9.117s)
OurPlayer (o): c6 (3.835s)
DynamicPlayer (x): a6 (6.478s)
OurPlayer (o): e5 (3.116s)
DynamicPlayer (x): b6 (3.977s)
OurPlayer (o): f2 (0.001s)
DynamicPlayer (x): f6 (0.220s)
OurPlayer (o): a5 (0.025s)
DynamicPlayer (x): a3 (0.023s)
OurPlayer (o): a2 (0.003s)
DynamicPlayer (x): a1 (0.000s)
OurPlayer (o): b1 (0.001s)
DynamicPlayer (x): e6 (0.000s)
