================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (2.207s)
OurPlayer (x): e4 (5.094s)
DynamicPlayer (o): d5 (1.237s)
OurPlayer (x): c2 (4.804s)
DynamicPlayer (o): f4 (2.802s)
OurPlayer (x): d6 (4.970s)
DynamicPlayer (o): c6 (1.341s)
OurPlayer (x): b6 (4.596s)
DynamicPlayer (o): b3 (3.634s)
OurPlayer (x): d1 (4.582s)
DynamicPlayer (o): e3 (5.251s)
OurPlayer (x): c5 (4.503s)
DynamicPlayer (o): b4 (2.697s)
OurPlayer (x): a4 (4.326s)
DynamicPlayer (o): c1 (0.661s)
OurPlayer (x): e6 (4.146s)
DynamicPlayer (o): e1 (0.253s)
OurPlayer (x): f3 (4.009s)
DynamicPlayer (o): f2 (0.094s)
OurPlayer (x): e5 (0.001s)
DynamicPlayer (o): b2 (0.067s)
OurPlayer (x): a1 (0.000s)
DynamicPlayer (o): b1 (0.050s)
OurPlayer (x): f1 (0.008s)
DynamicPlayer (o): f6 (0.011s)
OurPlayer (x): f5 (0.000s)
DynamicPlayer (o): a6 (0.001s)
OurPlayer (x): a3 (0.000s)
DynamicPlayer (o): a2 (0.000s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): a5 (0.000s)
OurPlayer (x): b5 (0.000s)
対局終了 スコア: -6
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.759s)
DynamicPlayer (x): e4 (0.944s)
OurPlayer (o): c5 (4.642s)
DynamicPlayer (x): d1 (0.873s)
OurPlayer (o): f4 (4.508s)
DynamicPlayer (x): b3 (1.022s)
OurPlayer (o): c2 (4.411s)
DynamicPlayer (x): b4 (2.651s)
OurPlayer (o): a3 (4.437s)
DynamicPlayer (x): d5 (2.967s)
OurPlayer (o): e3 (4.231s)
DynamicPlayer (x): a4 (5.300s)
OurPlayer (o): a5 (4.166s)
DynamicPlayer (x): c6 (3.293s)
OurPlayer (o): d6 (3.989s)
DynamicPlayer (x): e6 (1.589s)
OurPlayer (o): c1 (3.876s)
DynamicPlayer (x): f3 (0.368s)
OurPlayer (o): a2 (0.251s)
DynamicPlayer (x): f5 (0.095s)
OurPlayer (o): e2 (0.030s)
DynamicPlayer (x): e5 (0.035s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): b1 (0.003s)
OurPlayer (o): a1 (0.002s)
DynamicPlayer (x): b6 (0.002s)
OurPlayer (o): b2 (0.000s)
DynamicPlayer (x): f1 (0.000s)
OurPlayer (o): f6 (0.000s)
