================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (7.255s)
OurPlayer (x): e4 (5.057s)
DynamicPlayer (o): d5 (7.000s)
OurPlayer (x): c2 (4.865s)
DynamicPlayer (o): b3 (6.289s)
OurPlayer (x): d1 (4.900s)
DynamicPlayer (o): e3 (5.879s)
OurPlayer (x): f4 (4.608s)
DynamicPlayer (o): c1 (5.401s)
OurPlayer (x): b1 (4.592s)
DynamicPlayer (o): f2 (4.821s)
OurPlayer (x): a3 (4.517s)
DynamicPlayer (o): e2 (4.359s)
OurPlayer (x): d6 (4.303s)
DynamicPlayer (o): e6 (3.836s)
OurPlayer (x): f6 (4.161s)
DynamicPlayer (o): c5 (3.292s)
OurPlayer (x): e5 (4.020s)
DynamicPlayer (o): f5 (2.820s)
OurPlayer (x): c6 (0.000s)
DynamicPlayer (o): b5 (0.967s)
OurPlayer (x): f3 (0.001s)
DynamicPlayer (o): f1 (0.112s)
OurPlayer (x): a4 (0.000s)
DynamicPlayer (o): a6 (0.046s)
OurPlayer (x): b6 (0.001s)
DynamicPlayer (o): b2 (0.006s)
OurPlayer (x): a1 (0.000s)
DynamicPlayer (o): a2 (0.002s)
OurPlayer (x): b4 (0.001s)
DynamicPlayer (o): a5 (0.000s)
OurPlayer (x): e1 (0.000s)
対局終了 スコア: -4
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.682s)
DynamicPlayer (x): e4 (0.000s)
OurPlayer (o): c5 (4.757s)
DynamicPlayer (x): d1 (8.455s)
OurPlayer (o): f4 (4.620s)
DynamicPlayer (x): b3 (7.746s)
OurPlayer (o): c2 (4.527s)
DynamicPlayer (x): e3 (6.986s)
OurPlayer (o): c1 (4.403s)
DynamicPlayer (x): b1 (6.413s)
OurPlayer (o): a3 (4.201s)
DynamicPlayer (x): d5 (5.688s)
OurPlayer (o): e2 (4.211s)
DynamicPlayer (x): b2 (5.133s)
OurPlayer (o): c6 (3.998s)
DynamicPlayer (x): a4 (4.405s)
OurPlayer (o): a5 (3.850s)
DynamicPlayer (x): b4 (3.639s)
OurPlayer (o): b5 (0.742s)
DynamicPlayer (x): f5 (2.719s)
OurPlayer (o): f6 (0.000s)
DynamicPlayer (x): a6 (0.865s)
OurPlayer (o): e5 (0.031s)
DynamicPlayer (x): b6 (0.302s)
OurPlayer (o): a1 (0.007s)
DynamicPlayer (x): a2 (0.043s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): d6 (0.006s)
OurPlayer (o): .. (0.000s)
