================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (7.497s)
OurPlayer (x): e4 (5.063s)
DynamicPlayer (o): d5 (6.877s)
OurPlayer (x): c2 (4.864s)
DynamicPlayer (o): b3 (6.282s)
OurPlayer (x): d1 (4.811s)
DynamicPlayer (o): e3 (5.861s)
OurPlayer (x): f4 (4.636s)
DynamicPlayer (o): c1 (5.265s)
OurPlayer (x): b1 (4.527s)
DynamicPlayer (o): f2 (4.810s)
OurPlayer (x): a3 (4.414s)
DynamicPlayer (o): e2 (4.352s)
OurPlayer (x): d6 (4.302s)
DynamicPlayer (o): e5 (3.872s)
OurPlayer (x): f6 (4.206s)
DynamicPlayer (o): e6 (3.320s)
OurPlayer (x): c5 (4.051s)
DynamicPlayer (o): b5 (2.828s)
OurPlayer (x): c6 (0.186s)
DynamicPlayer (o): b2 (2.365s)
OurPlayer (x): a6 (0.000s)
DynamicPlayer (o): b6 (1.879s)
OurPlayer (x): f1 (0.001s)
DynamicPlayer (o): e1 (0.138s)
OurPlayer (x): f3 (0.001s)
DynamicPlayer (o): a1 (0.017s)
OurPlayer (x): a2 (0.001s)
DynamicPlayer (o): a4 (0.002s)
OurPlayer (x): f5 (0.000s)
DynamicPlayer (o): b4 (0.000s)
OurPlayer (x): a5 (0.000s)
対局終了 スコア: -4
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.784s)
DynamicPlayer (x): e4 (0.000s)
OurPlayer (o): c5 (4.613s)
DynamicPlayer (x): d1 (8.378s)
OurPlayer (o): f4 (4.561s)
DynamicPlayer (x): b3 (7.818s)
OurPlayer (o): c2 (4.537s)
DynamicPlayer (x): e3 (7.075s)
OurPlayer (o): c1 (4.349s)
DynamicPlayer (x): b1 (6.437s)
OurPlayer (o): a3 (4.298s)
DynamicPlayer (x): d5 (5.743s)
OurPlayer (o): e2 (4.117s)
DynamicPlayer (x): b2 (5.091s)
OurPlayer (o): c6 (4.028s)
DynamicPlayer (x): a4 (4.414s)
OurPlayer (o): a5 (3.845s)
DynamicPlayer (x): b4 (3.698s)
OurPlayer (o): b5 (0.749s)
DynamicPlayer (x): f5 (2.706s)
OurPlayer (o): f6 (0.001s)
DynamicPlayer (x): a6 (0.843s)
OurPlayer (o): e5 (0.032s)
DynamicPlayer (x): b6 (0.223s)
OurPlayer (o): a1 (0.008s)
DynamicPlayer (x): a2 (0.042s)
OurPlayer (o): e1 (0.001s)
DynamicPlayer (x): d6 (0.006s)
OurPlayer (o): .. (0.000s)
