================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (2.126s)
OurPlayer (x): e4 (6.409s)
DynamicPlayer (o): d5 (1.502s)
OurPlayer (x): c2 (4.786s)
DynamicPlayer (o): f4 (2.447s)
OurPlayer (x): d6 (4.648s)
DynamicPlayer (o): c6 (1.006s)
OurPlayer (x): b6 (4.528s)
DynamicPlayer (o): b3 (3.626s)
OurPlayer (x): d1 (4.438s)
DynamicPlayer (o): e3 (5.315s)
OurPlayer (x): c5 (4.348s)
DynamicPlayer (o): b4 (2.917s)
OurPlayer (x): a4 (4.253s)
DynamicPlayer (o): c1 (0.668s)
OurPlayer (x): e6 (4.089s)
DynamicPlayer (o): e1 (0.256s)
OurPlayer (x): f3 (3.932s)
DynamicPlayer (o): f2 (0.093s)
OurPlayer (x): e5 (0.001s)
DynamicPlayer (o): b2 (0.066s)
OurPlayer (x): a1 (0.001s)
DynamicPlayer (o): a3 (0.023s)
OurPlayer (x): b1 (0.014s)
DynamicPlayer (o): f6 (0.013s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): a5 (0.002s)
OurPlayer (x): a2 (0.001s)
DynamicPlayer (o): a6 (0.000s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): b5 (0.000s)
OurPlayer (x): f5 (0.000s)
対局終了 スコア: -4
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.749s)
DynamicPlayer (x): e4 (1.455s)
OurPlayer (o): c5 (4.705s)
DynamicPlayer (x): d1 (0.828s)
OurPlayer (o): f4 (4.684s)
DynamicPlayer (x): b3 (1.027s)
OurPlayer (o): c2 (4.548s)
DynamicPlayer (x): b4 (2.856s)
OurPlayer (o): a3 (4.347s)
DynamicPlayer (x): d5 (3.174s)
OurPlayer (o): e3 (4.317s)
DynamicPlayer (x): a4 (5.457s)
OurPlayer (o): a5 (4.108s)
DynamicPlayer (x): c6 (3.563s)
OurPlayer (o): d6 (3.962s)
DynamicPlayer (x): e6 (1.599s)
OurPlayer (o): c1 (3.837s)
DynamicPlayer (x): f3 (0.369s)
OurPlayer (o): a2 (0.254s)
DynamicPlayer (x): f5 (0.091s)
OurPlayer (o): e2 (0.030s)
DynamicPlayer (x): e5 (0.035s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): b6 (0.002s)
OurPlayer (o): .. (0.000s)
DynamicPlayer (x): b1 (0.001s)
OurPlayer (o): a1 (0.001s)
DynamicPlayer (x): f2 (0.001s)
OurPlayer (o): f1 (0.000s)
