================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): e3 (6.648s)
OurPlayer (x): c2 (5.192s)
DynamicPlayer (o): b3 (4.177s)
OurPlayer (x): e4 (5.009s)
DynamicPlayer (o): c1 (17.600s)
OurPlayer (x): a3 (4.873s)
DynamicPlayer (o): a4 (4.691s)
OurPlayer (x): a5 (4.703s)
DynamicPlayer (o): d5 (9.691s)
OurPlayer (x): f3 (4.535s)
DynamicPlayer (o): d2 (11.404s)
OurPlayer (x): b4 (4.378s)
DynamicPlayer (o): c5 (14.480s)
OurPlayer (x): c6 (4.313s)
DynamicPlayer (o): f4 (8.616s)
OurPlayer (x): a2 (4.141s)
DynamicPlayer (o): f2 (0.580s)
OurPlayer (x): d1 (4.001s)
DynamicPlayer (o): e1 (0.313s)
OurPlayer (x): b2 (0.001s)
DynamicPlayer (o): e5 (0.206s)
OurPlayer (x): f6 (0.001s)
DynamicPlayer (o): d6 (0.084s)
OurPlayer (x): f5 (0.014s)
DynamicPlayer (o): a1 (0.012s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): b6 (0.001s)
OurPlayer (x): e6 (0.001s)
DynamicPlayer (o): a6 (0.000s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): b5 (0.000s)
OurPlayer (x): b1 (0.000s)
対局終了 スコア: -4
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.806s)
DynamicPlayer (x): e4 (3.876s)
OurPlayer (o): c5 (4.607s)
DynamicPlayer (x): d1 (7.572s)
OurPlayer (o): f4 (4.496s)
DynamicPlayer (x): b3 (11.040s)
OurPlayer (o): c2 (4.546s)
DynamicPlayer (x): b4 (22.573s)
OurPlayer (o): a3 (4.383s)
DynamicPlayer (x): d5 (6.668s)
OurPlayer (o): e3 (4.219s)
DynamicPlayer (x): a4 (26.139s)
OurPlayer (o): a5 (4.190s)
DynamicPlayer (x): c6 (7.015s)
OurPlayer (o): d6 (4.035s)
DynamicPlayer (x): e6 (6.665s)
OurPlayer (o): c1 (3.860s)
DynamicPlayer (x): f3 (1.589s)
OurPlayer (o): a2 (0.166s)
DynamicPlayer (x): f5 (0.312s)
OurPlayer (o): e2 (0.031s)
DynamicPlayer (x): e5 (0.158s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): b6 (0.011s)
OurPlayer (o): .. (0.000s)
DynamicPlayer (x): b1 (0.002s)
OurPlayer (o): a1 (0.001s)
DynamicPlayer (x): f2 (0.000s)
OurPlayer (o): f1 (0.001s)
