================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (0.019s)
OurPlayer (x): e4 (6.209s)
DynamicPlayer (o): d5 (13.573s)
OurPlayer (x): c2 (4.786s)
DynamicPlayer (o): b3 (46.086s)
OurPlayer (x): d1 (4.677s)
DynamicPlayer (o): b2 (68.711s)
OurPlayer (x): b4 (4.664s)
DynamicPlayer (o): e5 (9.584s)
OurPlayer (x): d6 (4.440s)
DynamicPlayer (o): c5 (20.261s)
OurPlayer (x): c6 (4.362s)
DynamicPlayer (o): e6 (15.595s)
OurPlayer (x): b5 (4.293s)
DynamicPlayer (o): f3 (8.033s)
OurPlayer (x): a4 (4.075s)
DynamicPlayer (o): a2 (2.731s)
OurPlayer (x): a3 (3.933s)
DynamicPlayer (o): a6 (0.723s)
OurPlayer (x): f6 (0.001s)
DynamicPlayer (o): a5 (0.430s)
OurPlayer (x): b6 (0.001s)
DynamicPlayer (o): e3 (0.089s)
OurPlayer (x): a1 (0.021s)
DynamicPlayer (o): e1 (0.021s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): f5 (0.004s)
OurPlayer (x): f4 (0.001s)
DynamicPlayer (o): b1 (0.000s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): f2 (0.000s)
OurPlayer (x): c1 (0.000s)
対局終了 スコア: -12
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.705s)
DynamicPlayer (x): e2 (0.001s)
OurPlayer (o): e3 (4.630s)
DynamicPlayer (x): c2 (4.719s)
OurPlayer (o): b4 (4.573s)
DynamicPlayer (x): f3 (24.265s)
OurPlayer (o): c1 (4.560s)
DynamicPlayer (x): d5 (11.290s)
OurPlayer (o): e4 (4.346s)
DynamicPlayer (x): c5 (9.750s)
OurPlayer (o): d6 (4.257s)
DynamicPlayer (x): b6 (15.306s)
OurPlayer (o): e5 (4.176s)
DynamicPlayer (x): b3 (7.159s)
OurPlayer (o): c6 (4.021s)
DynamicPlayer (x): f6 (3.162s)
OurPlayer (o): d1 (3.887s)
DynamicPlayer (x): e6 (1.858s)
OurPlayer (o): f1 (17.521s)
DynamicPlayer (x): a3 (0.512s)
OurPlayer (o): a5 (0.074s)
DynamicPlayer (x): a4 (0.173s)
OurPlayer (o): a2 (0.005s)
DynamicPlayer (x): b2 (0.012s)
OurPlayer (o): b5 (0.000s)
DynamicPlayer (x): f2 (0.004s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): f5 (0.000s)
OurPlayer (o): a1 (0.000s)
