================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (0.019s)
OurPlayer (x): e4 (4.900s)
DynamicPlayer (o): d5 (14.299s)
OurPlayer (x): c2 (4.901s)
DynamicPlayer (o): b3 (45.054s)
OurPlayer (x): d1 (4.717s)
DynamicPlayer (o): b2 (67.446s)
OurPlayer (x): b4 (4.757s)
DynamicPlayer (o): e5 (8.818s)
OurPlayer (x): d6 (4.725s)
DynamicPlayer (o): c5 (20.422s)
OurPlayer (x): c6 (4.472s)
DynamicPlayer (o): e6 (15.825s)
OurPlayer (x): b5 (4.348s)
DynamicPlayer (o): f3 (7.827s)
OurPlayer (x): a4 (4.188s)
DynamicPlayer (o): a2 (2.757s)
OurPlayer (x): a3 (4.001s)
DynamicPlayer (o): a6 (0.709s)
OurPlayer (x): f6 (0.001s)
DynamicPlayer (o): a5 (0.342s)
OurPlayer (x): b6 (0.001s)
DynamicPlayer (o): e3 (0.088s)
OurPlayer (x): a1 (0.023s)
DynamicPlayer (o): e1 (0.020s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): f5 (0.004s)
OurPlayer (x): f4 (0.001s)
DynamicPlayer (o): b1 (0.001s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): f2 (0.000s)
OurPlayer (x): c1 (0.000s)
対局終了 スコア: -12
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.840s)
DynamicPlayer (x): e2 (0.001s)
OurPlayer (o): e3 (4.632s)
DynamicPlayer (x): c2 (4.541s)
OurPlayer (o): b4 (4.675s)
DynamicPlayer (x): f3 (24.612s)
OurPlayer (o): c1 (4.523s)
DynamicPlayer (x): d5 (11.062s)
OurPlayer (o): e4 (4.302s)
DynamicPlayer (x): c5 (9.633s)
OurPlayer (o): d6 (4.243s)
DynamicPlayer (x): b6 (15.173s)
OurPlayer (o): e5 (4.121s)
DynamicPlayer (x): b3 (7.126s)
OurPlayer (o): c6 (4.029s)
DynamicPlayer (x): f6 (3.172s)
OurPlayer (o): d1 (3.837s)
DynamicPlayer (x): e6 (1.854s)
OurPlayer (o): f1 (17.198s)
DynamicPlayer (x): a3 (0.511s)
OurPlayer (o): a5 (0.070s)
DynamicPlayer (x): a4 (0.171s)
OurPlayer (o): a2 (0.005s)
DynamicPlayer (x): b2 (0.012s)
OurPlayer (o): b5 (0.000s)
DynamicPlayer (x): f2 (0.004s)
OurPlayer (o): e1 (0.001s)
DynamicPlayer (x): f5 (0.000s)
OurPlayer (o): a1 (0.000s)
