================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (0.020s)
OurPlayer (x): e4 (5.437s)
DynamicPlayer (o): d5 (13.921s)
OurPlayer (x): c2 (4.784s)
DynamicPlayer (o): b3 (43.592s)
OurPlayer (x): d1 (4.867s)
DynamicPlayer (o): b2 (65.894s)
OurPlayer (x): b4 (4.745s)
DynamicPlayer (o): e5 (8.787s)
OurPlayer (x): d6 (4.590s)
DynamicPlayer (o): c5 (20.371s)
OurPlayer (x): c6 (4.444s)
DynamicPlayer (o): e6 (15.142s)
OurPlayer (x): b5 (4.287s)
DynamicPlayer (o): f3 (7.980s)
OurPlayer (x): a4 (4.148s)
DynamicPlayer (o): a2 (2.760s)
OurPlayer (x): a3 (3.974s)
DynamicPlayer (o): a6 (0.709s)
OurPlayer (x): f6 (0.001s)
DynamicPlayer (o): a5 (0.336s)
OurPlayer (x): b6 (0.001s)
DynamicPlayer (o): e3 (0.088s)
OurPlayer (x): a1 (0.021s)
DynamicPlayer (o): e1 (0.022s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): f5 (0.004s)
OurPlayer (x): f4 (0.001s)
DynamicPlayer (o): b1 (0.000s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): f2 (0.000s)
OurPlayer (x): c1 (0.000s)
対局終了 スコア: -12
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.791s)
DynamicPlayer (x): e2 (0.000s)
OurPlayer (o): e3 (4.657s)
DynamicPlayer (x): c2 (4.457s)
OurPlayer (o): b4 (4.573s)
DynamicPlayer (x): f3 (23.512s)
OurPlayer (o): c1 (4.458s)
DynamicPlayer (x): d5 (11.016s)
OurPlayer (o): e4 (4.306s)
DynamicPlayer (x): c5 (9.677s)
OurPlayer (o): d6 (4.208s)
DynamicPlayer (x): b6 (15.241s)
OurPlayer (o): e5 (4.123s)
DynamicPlayer (x): b3 (7.135s)
OurPlayer (o): c6 (4.015s)
DynamicPlayer (x): f6 (3.162s)
OurPlayer (o): d1 (3.875s)
DynamicPlayer (x): e6 (1.839s)
OurPlayer (o): f1 (17.103s)
DynamicPlayer (x): a3 (0.505s)
OurPlayer (o): a5 (0.073s)
DynamicPlayer (x): a4 (0.167s)
OurPlayer (o): a2 (0.005s)
DynamicPlayer (x): b2 (0.011s)
OurPlayer (o): b5 (0.001s)
DynamicPlayer (x): f2 (0.004s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): f5 (0.001s)
OurPlayer (o): a1 (0.000s)
