================================================
=== 対戦ログ開始 (1ラウンド) ===
【 1 ラウンド目 】
R1-標準盤-1戦 先手=DynamicPlayer vs 後手=OurPlayer
DynamicPlayer (o): d2 (0.020s)
OurPlayer (x): e4 (5.751s)
DynamicPlayer (o): d5 (14.681s)
OurPlayer (x): c2 (4.840s)
DynamicPlayer (o): b3 (43.492s)
OurPlayer (x): d1 (4.724s)
DynamicPlayer (o): b2 (68.943s)
OurPlayer (x): b4 (4.677s)
DynamicPlayer (o): e5 (9.090s)
OurPlayer (x): d6 (4.595s)
DynamicPlayer (o): c5 (20.995s)
OurPlayer (x): c6 (4.479s)
DynamicPlayer (o): e6 (15.459s)
OurPlayer (x): b5 (4.285s)
DynamicPlayer (o): f3 (7.554s)
OurPlayer (x): a4 (4.094s)
DynamicPlayer (o): a2 (2.737s)
OurPlayer (x): a3 (3.953s)
DynamicPlayer (o): a6 (0.710s)
OurPlayer (x): f6 (0.001s)
DynamicPlayer (o): a5 (0.337s)
OurPlayer (x): b6 (0.001s)
DynamicPlayer (o): e3 (0.093s)
OurPlayer (x): a1 (0.021s)
DynamicPlayer (o): e1 (0.020s)
OurPlayer (x): f1 (0.000s)
DynamicPlayer (o): f5 (0.004s)
OurPlayer (x): f4 (0.001s)
DynamicPlayer (o): b1 (0.001s)
OurPlayer (x): e2 (0.000s)
DynamicPlayer (o): f2 (0.000s)
OurPlayer (x): c1 (0.000s)
対局終了 スコア: -12
--------------------------------------------------
R1-標準盤-2戦 先手=OurPlayer vs 後手=DynamicPlayer
OurPlayer (o): d2 (4.836s)
DynamicPlayer (x): e2 (0.001s)
OurPlayer (o): e3 (4.662s)
DynamicPlayer (x): c2 (4.517s)
OurPlayer (o): b4 (4.634s)
DynamicPlayer (x): f3 (24.227s)
OurPlayer (o): c1 (4.389s)
DynamicPlayer (x): d5 (11.397s)
OurPlayer (o): e4 (4.438s)
DynamicPlayer (x): c5 (9.918s)
OurPlayer (o): d6 (4.297s)
DynamicPlayer (x): b6 (16.375s)
OurPlayer (o): e5 (4.142s)
DynamicPlayer (x): b3 (7.823s)
OurPlayer (o): c6 (4.011s)
DynamicPlayer (x): f6 (4.003s)
OurPlayer (o): d1 (3.850s)
DynamicPlayer (x): e6 (1.861s)
OurPlayer (o): f1 (18.549s)
DynamicPlayer (x): a3 (0.518s)
OurPlayer (o): a5 (0.070s)
DynamicPlayer (x): a4 (0.173s)
OurPlayer (o): a2 (0.005s)
DynamicPlayer (x): b2 (0.011s)
OurPlayer (o): b5 (0.000s)
DynamicPlayer (x): f2 (0.004s)
OurPlayer (o): e1 (0.000s)
DynamicPlayer (x): f5 (0.000s)
OurPlayer (o): a1 (0.000s)
